YEAR MONTH DAY HOUR MIN LOC D MAG
2018 02 08 05 51 LRE Y 108
2018 02 08 06 28 LRE Y 302
2018 02 08 09 30 LRE Y 1680
2018 02 08 09 39 LRE Z 31
2018 02 08 10 06 LRE Y 132
2018 02 08 12 42 LRE Y 744
2018 02 08 13 30 LRE Y 35
2018 02 08 14 54 LRE Y 261
2018 02 08 15 02 LRE X 63
2018 02 08 15 00 LRE Y 580
2018 02 08 16 26 LRE Y 1193
2018 02 08 17 58 LRE Y 44
2018 02 08 18 00 LRE Y 39
2018 02 08 19 28 LRE X 25
2018 02 08 19 28 LRE Y 45
2018 02 08 19 39 LRE Y 33
2018 02 08 19 41 LRE Y 34
2018 02 08 19 28 LRE F 43
2018 02 08 20 21 LRE Z 92
2018 02 08 20 21 LRE F 54
2018 02 08 21 44 LRE X 126
2018 02 08 21 42 LRE Y 27
2018 02 08 21 44 LRE Y 122
2018 02 08 22 03 LRE X 514
2018 02 08 22 07 LRE X 407
2018 02 08 22 11 LRE X 244
2018 02 08 22 29 LRE X 55
2018 02 08 22 03 LRE Y 473
2018 02 08 22 07 LRE Y 343
2018 02 08 22 11 LRE Y 247
2018 02 08 22 29 LRE Y 38
2018 02 08 22 03 LRE F 274
2018 02 08 22 07 LRE F 214
2018 02 08 22 11 LRE F 128
2018 02 08 00 15 LRO Z 27
2018 02 08 00 34 LRO Z 26
2018 02 08 00 46 LRO Z 37
2018 02 08 00 56 LRO Z 68
2018 02 08 00 15 LRO F 27
2018 02 08 00 34 LRO F 26
2018 02 08 00 46 LRO F 34
2018 02 08 00 56 LRO F 65
2018 02 08 01 41 LRO Z 38
2018 02 08 01 56 LRO Z 233
2018 02 08 01 59 LRO Z 25
2018 02 08 01 41 LRO F 37
2018 02 08 01 56 LRO F 221
2018 02 08 02 01 LRO Z 61
2018 02 08 02 34 LRO Z 35
2018 02 08 02 57 LRO Z 26
2018 02 08 02 01 LRO F 59
2018 02 08 02 34 LRO F 34
2018 02 08 02 57 LRO F 27
2018 02 08 03 00 LRO Z 25
2018 02 08 03 01 LRO Z 36
2018 02 08 03 29 LRO Z 41
2018 02 08 03 32 LRO Z 38
2018 02 08 03 53 LRO Z 45
2018 02 08 03 57 LRO Z 32
2018 02 08 03 01 LRO F 35
2018 02 08 03 29 LRO F 38
2018 02 08 03 32 LRO F 37
2018 02 08 03 53 LRO F 43
2018 02 08 03 57 LRO F 32
2018 02 08 04 03 LRO Z 38
2018 02 08 04 06 LRO Z 44
2018 02 08 04 16 LRO Z 28
2018 02 08 04 20 LRO Z 30
2018 02 08 04 35 LRO Z 29
2018 02 08 04 45 LRO Z 28
2018 02 08 04 55 LRO Z 37
2018 02 08 04 03 LRO F 38
2018 02 08 04 06 LRO F 42
2018 02 08 04 16 LRO F 28
2018 02 08 04 20 LRO F 29
2018 02 08 04 35 LRO F 31
2018 02 08 04 45 LRO F 28
2018 02 08 04 55 LRO F 38
2018 02 08 05 01 LRO Z 43
2018 02 08 05 03 LRO Z 41
2018 02 08 05 17 LRO Z 32
2018 02 08 05 56 LRO Z 52
2018 02 08 05 01 LRO F 39
2018 02 08 05 03 LRO F 38
2018 02 08 05 17 LRO F 31
2018 02 08 05 56 LRO F 53
2018 02 08 06 02 LRO Z 73
2018 02 08 06 02 LRO F 68
2018 02 08 07 03 LRO Z 33
2018 02 08 07 56 LRO Z 264
2018 02 08 07 58 LRO Z 30
2018 02 08 07 03 LRO F 28
2018 02 08 07 56 LRO F 253
2018 02 08 07 58 LRO F 30
2018 02 08 08 07 LRO Z 40
2018 02 08 08 55 LRO Z 94
2018 02 08 08 59 LRO Z 27
2018 02 08 08 07 LRO F 37
2018 02 08 08 55 LRO F 89
2018 02 08 08 59 LRO F 25
2018 02 08 09 58 LRO Z 27
2018 02 08 09 58 LRO Z 52
2018 02 08 09 58 LRO F 51
2018 02 08 10 07 LRO Z 53
2018 02 08 10 12 LRO Z 43
2018 02 08 10 13 LRO Z 27
2018 02 08 10 26 LRO Z 41
2018 02 08 10 39 LRO Z 60
2018 02 08 10 55 LRO Z 43
2018 02 08 10 07 LRO F 51
2018 02 08 10 12 LRO F 43
2018 02 08 10 26 LRO F 40
2018 02 08 10 39 LRO F 59
2018 02 08 10 55 LRO F 41
2018 02 08 11 05 LRO Z 26
2018 02 08 11 08 LRO Z 25
2018 02 08 11 12 LRO Z 73
2018 02 08 11 27 LRO Z 31
2018 02 08 11 37 LRO Z 31
2018 02 08 11 52 LRO Z 48
2018 02 08 11 55 LRO Z 32
2018 02 08 11 05 LRO F 25
2018 02 08 11 08 LRO F 25
2018 02 08 11 12 LRO F 65
2018 02 08 11 27 LRO F 30
2018 02 08 11 37 LRO F 31
2018 02 08 11 52 LRO F 49
2018 02 08 11 55 LRO F 31
2018 02 08 12 15 LRO Z 42
2018 02 08 12 56 LRO Z 80
2018 02 08 12 57 LRO Z 26
2018 02 08 12 15 LRO F 40
2018 02 08 12 56 LRO F 80
2018 02 08 13 30 LRO Y 27
2018 02 08 13 02 LRO Z 85
2018 02 08 13 57 LRO Z 33
2018 02 08 13 02 LRO F 82
2018 02 08 13 57 LRO F 33
2018 02 08 14 02 LRO X 284
2018 02 08 14 02 LRO Y 273
2018 02 08 14 02 LRO Z 326
2018 02 08 14 02 LRO F 165
2018 02 08 15 20 LRO Y 39
2018 02 08 15 21 LRO Z 25
2018 02 08 16 13 LRO Z 110
2018 02 08 16 13 LRO F 94
2018 02 08 17 74 LRO Y 1406
2018 02 08 17 85 LRO Y 91
2018 02 08 17 01 LRO Z 272
2018 02 08 17 09 LRO Z 73
2018 02 08 17 13 LRO Z 31
2018 02 08 17 33 LRO Z 33
2018 02 08 17 41 LRO Z 36
2018 02 08 17 56 LRO Z 91
2018 02 08 17 57 LRO Z 37
2018 02 08 17 60 LRO Z 64
2018 02 08 17 66 LRO Z 32
2018 02 08 17 117 LRO Z 43
2018 02 08 17 01 LRO F 272
2018 02 08 17 09 LRO F 64
2018 02 08 17 13 LRO F 29
2018 02 08 17 33 LRO F 32
2018 02 08 17 41 LRO F 34
2018 02 08 17 56 LRO F 74
2018 02 08 17 57 LRO F 36
2018 02 08 17 60 LRO F 56
2018 02 08 17 66 LRO F 32
2018 02 08 17 117 LRO F 40
2018 02 08 19 04 LRO Z 69
2018 02 08 19 34 LRO Z 25
2018 02 08 19 04 LRO F 63
2018 02 08 19 34 LRO F 26
2018 02 08 20 03 LRO Z 44
2018 02 08 20 29 LRO Z 27
2018 02 08 20 30 LRO Z 58
2018 02 08 20 35 LRO Z 28
2018 02 08 20 42 LRO Z 44
2018 02 08 20 55 LRO Z 32
2018 02 08 20 03 LRO F 46
2018 02 08 20 29 LRO F 26
2018 02 08 20 30 LRO F 53
2018 02 08 20 35 LRO F 28
2018 02 08 20 42 LRO F 42
2018 02 08 20 55 LRO F 31
2018 02 08 21 49 LRO Y 25
2018 02 08 21 53 LRO Y 251
2018 02 08 21 02 LRO Z 239
2018 02 08 21 03 LRO Z 37
2018 02 08 21 04 LRO Z 69
2018 02 08 21 26 LRO Z 35
2018 02 08 21 31 LRO Z 38
2018 02 08 21 02 LRO F 226
2018 02 08 21 03 LRO F 34
2018 02 08 21 04 LRO F 69
2018 02 08 21 26 LRO F 33
2018 02 08 21 31 LRO F 36
2018 02 08 22 00 LRO Y 167
2018 02 08 22 06 LRO Y 1386
2018 02 08 22 20 LRO Y 89
2018 02 08 22 22 LRO Y 28
2018 02 08 22 09 LRO Z 30
2018 02 08 22 17 LRO Z 44
2018 02 08 22 18 LRO Z 72
2018 02 08 22 09 LRO F 29
2018 02 08 22 17 LRO F 43
2018 02 08 22 18 LRO F 68
2018 02 08 23 00 LRO Z 53
2018 02 08 23 29 LRO Z 34
2018 02 08 23 47 LRO Z 27
2018 02 08 23 50 LRO Z 38
2018 02 08 23 52 LRO Z 64
2018 02 08 23 00 LRO F 47
2018 02 08 23 29 LRO F 31
2018 02 08 23 47 LRO F 26
2018 02 08 23 50 LRO F 36
2018 02 08 23 52 LRO F 61
2018 02 08 01 24 LRS Y 84
2018 02 08 01 27 LRS Y 101
2018 02 08 01 33 LRS Y 36
2018 02 08 01 43 LRS Y 48
2018 02 08 01 51 LRS Y 29
2018 02 08 02 08 LRS Y 27
2018 02 08 02 31 LRS Y 43
2018 02 08 02 47 LRS Y 40
2018 02 08 02 49 LRS Y 38
2018 02 08 04 25 LRS Y 25
2018 02 08 05 12 LRS Y 31
2018 02 08 08 36 LRS X 86
2018 02 08 08 36 LRS Z 30
2018 02 08 12 02 LRS X 71
2018 02 08 17 54 LRS Y 29
2018 02 08 19 42 LRS X 243
2018 02 08 19 42 LRS Z 221
