YYYY MM DD HH MI LOC D MAG
2018 03 17 02 00 LRE X 2582
2018 03 17 02 00 LRE Y 1344
2018 03 17 02 00 LRE Z 2660
2018 03 17 03 00 LRE F 246
2018 03 17 05 00 LRE Y 430
2018 03 17 05 00 LRE F 200
2018 03 17 06 00 LRE Y 503
2018 03 17 06 00 LRE Z 334
2018 03 17 10 00 LRE F 454
2018 03 17 16 00 LRE Z 575
2018 03 17 20 00 LRE Y 713
2018 03 17 23 00 LRE X 2985
2018 03 17 23 00 LRE Y 656
2018 03 17 23 00 LRE Z 1284
2018 03 17 02 00 LRO F 99
2018 03 17 03 00 LRO X 228
2018 03 17 03 00 LRO F 215
2018 03 17 06 00 LRO Y 530
2018 03 17 10 00 LRO X 457
2018 03 17 10 00 LRO Y 249
2018 03 17 10 00 LRO F 178
2018 03 17 11 00 LRO X 179
2018 03 17 11 00 LRO Z 104
2018 03 17 15 00 LRO Y 168
2018 03 17 20 00 LRO Y 844
2018 03 17 03 00 LRS X 182
2018 03 17 03 00 LRS F 155
2018 03 17 06 00 LRS Y 601
2018 03 17 06 00 LRS Z 273
2018 03 17 06 00 LRS F 245
2018 03 17 10 00 LRS X 416
2018 03 17 10 00 LRS Y 145
2018 03 17 10 00 LRS F 179
2018 03 17 19 00 LRS Z 1444
2018 03 17 20 00 LRS Y 892
2018 03 17 21 00 LRS Z 530
2018 03 17 23 00 LRS Z 124
